key,code,title,abstractt,goals,totalTime,key:assistant,key:course
tutorial-01,TUT000001,How to get into Java.,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",5.0,assistant-01,course-01
tutorial-02,TU000002,How to get into Java.,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",5.0,assistant-02,course-01
tutorial-03,T000003,How to get into Java.,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",5.0,assistant-01,course-01
tutorial-04,TUT000004,This title is going to reach exactly 75chr so the restriction can be proved,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",5.0,assistant-02,course-01
tutorial-05,TUT000005,This title will reach exactly 75 - 1 char so the restriction can be proved,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",5.0,assistant-01,course-01
tutorial-06,TUT000006,T,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",5.0,assistant-02,course-01
tutorial-07,TUT000007,T1,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",5.0,assistant-01,course-01
tutorial-08,TUT000008,<h1>Example</h1>,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",5.0,assistant-02,course-01
tutorial-09,TUT000009,<script>alert('hi');</script>,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",5.0,assistant-01,course-01
tutorial-010,TUT000010,示例文本。,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",5.0,assistant-02,course-01
tutorial-011,TUT000011,How to get into Java.,This explanation is going to reach 100 charac so the restriction can be proved in the maximum value.,"goal1, goal2, goal3",5.0,assistant-01,course-01
tutorial-012,TUT000012,How to get into Java.,This explanation is going to reach 100-1 chars so the restriction can be proved in the max-1 value.,"goal1, goal2, goal3",5.0,assistant-02,course-01
tutorial-013,TUT000013,How to get into Java.,T,"goal1, goal2, goal3",5.0,assistant-01,course-01
tutorial-014,TUT000014,How to get into Java.,T1,"goal1, goal2, goal3",5.0,assistant-02,course-01
tutorial-015,TUT000015,How to get into Java.,<h1>Example</h1>,"goal1, goal2, goal3",5.0,assistant-01,course-01
tutorial-016,TUT000016,How to get into Java.,<script>alert('hi');</script>,"goal1, goal2, goal3",5.0,assistant-02,course-01
tutorial-017,TUT000017,How to get into Java.,示例文本。,"goal1, goal2, goal3",5.0,assistant-01,course-01
tutorial-018,TUT000018,How to get into Java.,In this tutorial it is explained how to get into java development.,This text for goals will reach 100 characters so the restriction can be proved in the maximum value.,5.0,assistant-02,course-01
tutorial-019,TUT000019,How to get into Java.,In this tutorial it is explained how to get into java development.,This text for goals will reach 100 - 1 chars so the restriction can be proved in the max - 1 value.,5.0,assistant-01,course-01
tutorial-020,TUT000020,How to get into Java.,In this tutorial it is explained how to get into java development.,T,5.0,assistant-02,course-01
tutorial-021,TUT000021,How to get into Java.,In this tutorial it is explained how to get into java development.,T1,5.0,assistant-01,course-01
tutorial-022,TUT000022,How to get into Java.,In this tutorial it is explained how to get into java development.,<h1>Example</h1>,5.0,assistant-02,course-01
tutorial-023,TUT000023,How to get into Java.,In this tutorial it is explained how to get into java development.,<script>alert('hi');</script>,5.0,assistant-01,course-01
tutorial-024,TUT000024,How to get into Java.,In this tutorial it is explained how to get into java development.,示例文本。,5.0,assistant-02,course-01
tutorial-025,TUT000025,How to get into Java.,In this tutorial it is explained how to get into java development.,"goal1, goal2, goal3",0.0,assistant-01,course-01
