key,title,abstractt,type,start-period,finish-period,link,key:tutorial
session-01,Session 1: Introduction to Data Structures and Algorithms,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-01
session-02,This session is going to reach 75 characs in order to prove the restriction,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-02
session-03,This session is going to reach 74 chars in order to prove the restriction.,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-03
session-04,S,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-04
session-05,S1,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-03
session-06,<script>alert('hi');</script>,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-01
session-07,示例文本。,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-02
session-08,Session 1: Introduction to Data Structures and Algorithms,This abstract is going to reach exactly 100 characters so it can be proven the specific restriction.,THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-03
session-09,Session 1: Introduction to Data Structures and Algorithms,This abstract is going to reach exactly 99 characters so it can be proven the specific restriction.,THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-04
session-10,Session 1: Introduction to Data Structures and Algorithms,A,THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-03
session-11,Session 1: Introduction to Data Structures and Algorithms,A1,THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-01
session-12,Session 1: Introduction to Data Structures and Algorithms,<script>alert('hi');</script>,THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-02
session-13,Session 1: Introduction to Data Structures and Algorithms,示例文本。,THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-03
session-14,Session 1: Introduction to Data Structures and Algorithms,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 16:30,https://www.google.es/,tutorial-04
session-15,Session 1: Introduction to Data Structures and Algorithms,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 19:59,https://www.google.es/,tutorial-05
session-16,Session 1: Introduction to Data Structures and Algorithms,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 20:00,https://www.google.es/,tutorial-01
session-17,Session 1: Introduction to Data Structures and Algorithms,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 16:01,https://www.google.es/,tutorial-02
session-18,Session 1: Introduction to Data Structures and Algorithms,"In this session, we will introduce fundamental data structures",THEORETICAL,2023/09/04 15:00,2023/09/04 16:00,https://www.google.es/,tutorial-026
session-19,Session,Abstract,HANDS_ON,2100/12/31 21:30,2100/12/31 23:59,null,tutorial-04
session-20,Session,Abstract,HANDS_ON,2023/08/21 19:30,2023/08/21 20:45,null,tutorial-05
session-21,Session,Abstract,HANDS_ON,2023/08/21 19:30,2023/08/21 20:45,null,tutorial-06
session-22,Session,Abstract,HANDS_ON,2023/08/21 19:30,2023/08/21 20:45,null,tutorial-07
session-23,Session,Abstract,HANDS_ON,2023/08/21 19:30,2023/08/21 20:45,null,tutorial-08
session-24,Session,Abstract,THEORETICAL,2023/08/21 00:00,2023/08/21 03:30,null,tutorial-09
